GEO_ID,NAME,S2301_C01_001E
47001,"Anderson County, Tennessee",62205
47003,"Bedford County, Tennessee",38478
47005,"Benton County, Tennessee",13144
47007,"Bledsoe County, Tennessee",12896
47009,"Blount County, Tennessee",110435
47011,"Bradley County, Tennessee",86989
47013,"Campbell County, Tennessee",32059
47015,"Cannon County, Tennessee",11614
47017,"Carroll County, Tennessee",22824
47019,"Carter County, Tennessee",47239
47021,"Cheatham County, Tennessee",32958
47023,"Chester County, Tennessee",13985
47025,"Claiborne County, Tennessee",26535
47027,"Clay County, Tennessee",6181
47029,"Cocke County, Tennessee",29450
47031,"Coffee County, Tennessee",45008
47033,"Crockett County, Tennessee",11001
47035,"Cumberland County, Tennessee",51308
47037,"Davidson County, Tennessee",576595
47039,"Decatur County, Tennessee",9329
47041,"DeKalb County, Tennessee",16048
47043,"Dickson County, Tennessee",43027
47045,"Dyer County, Tennessee",28958
47047,"Fayette County, Tennessee",34734
47049,"Fentress County, Tennessee",15097
47051,"Franklin County, Tennessee",35050
47053,"Gibson County, Tennessee",39327
47055,"Giles County, Tennessee",24629
47057,"Grainger County, Tennessee",19389
47059,"Greene County, Tennessee",57908
47061,"Grundy County, Tennessee",10979
47063,"Hamblen County, Tennessee",50938
47065,"Hamilton County, Tennessee",296223
47067,"Hancock County, Tennessee",5411
47069,"Hardeman County, Tennessee",21374
47071,"Hardin County, Tennessee",21935
47073,"Hawkins County, Tennessee",47068
47075,"Haywood County, Tennessee",14397
47077,"Henderson County, Tennessee",22101
47079,"Henry County, Tennessee",26391
47081,"Hickman County, Tennessee",20268
47083,"Houston County, Tennessee",6734
47085,"Humphreys County, Tennessee",15378
47087,"Jackson County, Tennessee",9881
47089,"Jefferson County, Tennessee",45177
47091,"Johnson County, Tennessee",15279
47093,"Knox County, Tennessee",386535
47095,"Lake County, Tennessee",6303
47097,"Lauderdale County, Tennessee",20345
47099,"Lawrence County, Tennessee",34031
47101,"Lewis County, Tennessee",10150
47103,"Lincoln County, Tennessee",28232
47105,"Loudon County, Tennessee",44905
47107,"McMinn County, Tennessee",43328
47109,"McNairy County, Tennessee",21098
47111,"Macon County, Tennessee",19429
47113,"Madison County, Tennessee",78887
47115,"Marion County, Tennessee",23426
47117,"Marshall County, Tennessee",26849
47119,"Maury County, Tennessee",78389
47121,"Meigs County, Tennessee",10411
47123,"Monroe County, Tennessee",37476
47125,"Montgomery County, Tennessee",163379
47127,"Moore County, Tennessee",5320
47129,"Morgan County, Tennessee",17742
47131,"Obion County, Tennessee",24727
47133,"Overton County, Tennessee",18040
47135,"Perry County, Tennessee",6672
47137,"Pickett County, Tennessee",4127
47139,"Polk County, Tennessee",14512
47141,"Putnam County, Tennessee",64226
47143,"Rhea County, Tennessee",26269
47145,"Roane County, Tennessee",44777
47147,"Robertson County, Tennessee",57070
47149,"Rutherford County, Tennessee",261940
47151,"Scott County, Tennessee",17293
47153,"Sequatchie County, Tennessee",13053
47155,"Sevier County, Tennessee",80102
47157,"Shelby County, Tennessee",721541
47159,"Smith County, Tennessee",15987
47161,"Stewart County, Tennessee",11001
47163,"Sullivan County, Tennessee",131059
47165,"Sumner County, Tennessee",152852
47167,"Tipton County, Tennessee",47742
47169,"Trousdale County, Tennessee",9587
47171,"Unicoi County, Tennessee",15253
47173,"Union County, Tennessee",15850
47175,"Van Buren County, Tennessee",5062
47177,"Warren County, Tennessee",32197
47179,"Washington County, Tennessee",110021
47181,"Wayne County, Tennessee",13871
47183,"Weakley County, Tennessee",27411
47185,"White County, Tennessee",21737
47187,"Williamson County, Tennessee",185970
47189,"Wilson County, Tennessee",114665